Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn,Gender_Male
56.0,4.0,0.0,4.0,0,0,40282.42,1,True
28.0,8.0,67408.01,4.0,0,1,27333.51,0,False
47.0,6.0,1154.97,1.0,0,1,99514.91,1,False
42.0,1.0,0.0,2.0,1,1,146588.22,0,True
64.0,3.0,77109.94,4.0,0,0,131792.25,0,True
26.0,7.0,0.0,4.0,1,1,70104.15,1,True
19.0,4.0,48964.07,3.0,1,0,128315.34,1,True
34.0,4.0,37264.98,2.0,1,1,47032.42,0,True
46.0,2.0,155251.43,2.0,1,1,97727.0,0,False
25.0,7.0,104646.02,4.0,0,1,117151.61,0,True
41.0,10.0,193085.81,4.0,0,0,58515.56,1,False
42.0,7.0,0.0,4.0,1,1,21830.38,1,True
25.0,3.0,0.0,1.0,1,0,104640.01,0,True
26.0,8.0,0.0,4.0,0,0,106949.36,1,True
22.0,10.0,47961.0,3.0,0,0,112386.18,1,True
30.0,3.0,0.0,1.0,1,0,86114.19,0,False
40.0,7.0,0.0,1.0,1,0,30007.39,1,True
39.0,2.0,125246.46,1.0,0,1,79349.49,0,False
37.0,10.0,0.0,3.0,1,0,55377.19,1,False
69.0,9.0,61651.47,4.0,0,0,83027.9,0,True
59.0,8.0,188639.03,4.0,1,1,111392.46,0,True
34.0,1.0,195346.38,2.0,0,0,64859.26,0,False
19.0,5.0,98401.1,2.0,1,0,107377.62,0,False
34.0,6.0,74188.84,2.0,1,1,89650.71,1,True
50.0,9.0,64835.23,4.0,0,0,96816.08,0,True
36.0,10.0,0.0,4.0,1,0,42667.64,1,False
56.0,2.0,0.0,4.0,0,0,47179.31,1,True
59.0,3.0,46481.45,2.0,1,0,87162.67,1,True
18.0,5.0,0.0,3.0,0,0,65397.24,0,False
20.0,4.0,177530.2,1.0,1,1,30938.2,1,True
55.0,8.0,0.0,10.0,1,0,106255.23,1,False
63.0,2.0,0.0,4.0,0,0,42870.28,1,False
31.0,5.0,36585.72,4.0,1,0,113722.19,1,False
65.0,3.0,127630.19,2.0,1,1,147256.07,0,True
25.0,2.0,0.0,4.0,0,1,132341.78,0,False
65.0,3.0,114828.84,1.0,1,0,149291.57,1,True
63.0,5.0,176815.31,1.0,0,1,62997.54,0,False
48.0,3.0,196085.99,3.0,0,0,44818.43,1,True
20.0,2.0,0.0,2.0,1,0,94107.95,1,False
49.0,6.0,0.0,3.0,1,1,61931.6,0,False
26.0,6.0,0.0,2.0,0,1,125314.74,0,False
30.0,10.0,2031.79,1.0,1,0,29222.32,1,True
31.0,3.0,68261.04,2.0,1,1,95176.42,0,True
42.0,10.0,0.0,2.0,1,1,-50000.0,1,True
23.0,6.0,0.0,1.0,1,0,55300.58,1,False
56.0,4.0,168562.59,4.0,1,0,110936.59,1,True
33.0,2.0,103743.77,3.0,0,1,55208.19,0,True
43.0,5.0,37682.4,3.0,0,0,109504.99,1,True
18.0,2.0,48717.68,4.0,0,1,141499.82,0,False
56.0,5.0,0.0,3.0,1,1,66276.45,0,False
46.0,5.0,19737.24,2.0,1,1,42792.94,1,False
43.0,5.0,0.0,2.0,1,0,71805.62,0,False
22.0,4.0,0.0,2.0,1,0,85407.71,0,True
22.0,4.0,123554.38,3.0,1,0,132735.86,0,False
37.0,8.0,0.0,4.0,0,0,125456.54,0,False
29.0,3.0,164264.94,2.0,0,1,55614.95,0,True
63.0,2.0,8753.66,3.0,0,0,105243.94,1,False
27.0,10.0,0.0,1.0,0,1,110075.75,1,True
28.0,8.0,0.0,1.0,0,1,43067.14,0,True
52.0,1.0,146597.9,2.0,0,0,95470.72,0,True
